Modelo,Técnica,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Logistic Regression,Sin Balanceo,0.6627565982404692,0.6863636363636364,0.483974358974359,0.5676691729323309,0.7091042966042966
Random Forest,Sin Balanceo,0.658357771260997,0.6366782006920415,0.5897435897435898,0.6123128119800333,0.7106159043659043
Gradient Boosting,Sin Balanceo,0.6935483870967742,0.6914498141263941,0.5961538461538461,0.6402753872633391,0.7545218295218297
Logistic Regression,SMOTE,0.658357771260997,0.632996632996633,0.6025641025641025,0.6174055829228243,0.7075970200970201
Random Forest,SMOTE,0.6436950146627566,0.6138613861386139,0.5961538461538461,0.6048780487804878,0.71367376992377
Gradient Boosting,SMOTE,0.6876832844574781,0.6571428571428571,0.6634615384615384,0.6602870813397129,0.7450363825363826
Logistic Regression,Undersampling,0.6524926686217009,0.6237623762376238,0.6057692307692307,0.6146341463414634,0.7081860706860708
Random Forest,Undersampling,0.6671554252199413,0.631578947368421,0.6538461538461539,0.6425196850393701,0.722665453915454
Gradient Boosting,Undersampling,0.6862170087976539,0.6512345679012346,0.6762820512820513,0.6635220125786163,0.7515982328482328
Logistic Regression,SMOTETomek,0.6612903225806451,0.6336633663366337,0.6153846153846154,0.624390243902439,0.7075363825363826
Random Forest,SMOTETomek,0.6700879765395894,0.6474576271186441,0.6121794871794872,0.6293245469522241,0.7142758142758142
Gradient Boosting,SMOTETomek,0.6906158357771262,0.6593059936908517,0.6698717948717948,0.6645468998410174,0.7405968468468469
Logistic Regression,Class Weight,0.655425219941349,0.6270627062706271,0.6089743589743589,0.6178861788617886,0.709364171864172
Random Forest,Class Weight,0.6671554252199413,0.6480836236933798,0.5961538461538461,0.6210350584307178,0.7188756063756064
Random Forest,SMOTE + GridSearch,0.6627565982404692,0.6348684210526315,0.6185897435897436,0.6266233766233766,0.7248440748440748
Logistic Regression,SMOTE + GridSearch,0.658357771260997,0.632996632996633,0.6025641025641025,0.6174055829228243,0.7075970200970201
Gradient Boosting,SMOTE + GridSearch,0.6862170087976539,0.6644295302013423,0.6346153846153846,0.6491803278688525,0.7392671517671517
